Sample_ID,pcr_replicate,biological_replicate,extraction_ID,extraction_replicate,run,collection_year,collection_month,collection_day,location1,longitude,latitude,sample_type,time_of_day,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc,pcr_conc
e00598_A,A,e00598,e00598,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,D06,13.413,23.122
e00599_A,A,e00599,e00599,1,B,2021,7,12,74,-160.019,55.1037,sample,20:57,2022_02_23,plate,2_2022,E06,36.555,21.349
e00600_A,A,e00600,e00600,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,F06,27.44,24.907
e00601_A,A,e00601,e00601,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,G06,18.554,19.752
e00602_A,A,e00602,e00602,1,B,2021,7,12,73,-160.008,55.1016,sample,20:13,2022_02_23,plate,2_2022,H06,13.377,20.463
e00603_A,A,e00603,e00603,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,A07,14.778,25.157
e00604_A,A,e00604,e00604,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,B07,17.5,23.768
e00605_A,A,e00605,e00605,1,B,2021,7,13,75,-159.988,55.1126,sample,8:33,2022_02_23,plate,2_2022,C07,11.893,21.613
e00606_A,A,e00606,e00606,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,D07,7.099,20.078
e00607_A,A,e00607,e00607,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,E07,8.574,6.788
e00608_A,A,e00608,e00608,1,B,2021,7,13,76,-159.999,55.1527,sample,9:40,2022_02_23,plate,2_2022,F07,3.116,20.052
e00609_A,A,e00609,e00609,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,G07,12.762,19.404
e00610_A,A,e00610,e00610,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,H07,9.05,22.965
e02032_A,A,e02032,e02032,1,B,2021,7,13,77,-159.994,55.1535,sample,10:18,2022_02_23,plate,2_2022,A08,15.5,25.663
e02033_A,A,e02033,e02033,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,B08,6.327,23.408
e02034_A,A,e02034,e02034,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,C08,14.96,22.137
e02035_A,A,e02035,e02035,1,B,2021,7,14,NA,NA,NA,sample,8:39,2022_02_23,plate,2_2022,D08,2.494,20.157
e02036_A,A,e02036,e02036,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,E08,4.533,22.117
e02037_A,A,e02037,e02037,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,F08,4.745,21.313
e02038_A,A,e02038,e02038,1,B,2021,7,14,78,-160.337,55.3373,sample,9:03,2022_02_23,plate,2_2022,G08,10.376,20.83
e02039_A,A,e02039,e02039,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,H08,5.944,21.65
e02040_A,A,e02040,e02040,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,A09,4.417,23.318
e02041_A,A,e02041,e02041,1,B,2021,7,14,79,-161.703,55.1384,sample,18:12,2022_02_23,plate,2_2022,B09,6.77,22.768
