sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00423-C	e00423-C	1	e00423-C_S244_L001_R1_001.fastq.gz	e00423-C_S244_L001_R2_001.fastq.gz	33283	33283	32855	32855	32540	32540	30794	29831	29831
e00424-A	e00424-A	1	e00424-A_S53_L001_R1_001.fastq.gz	e00424-A_S53_L001_R2_001.fastq.gz	45330	45330	44755	44755	44393	44393	42477	41265	41265
e00424-B	e00424-B	1	e00424-B_S149_L001_R1_001.fastq.gz	e00424-B_S149_L001_R2_001.fastq.gz	38641	38641	38116	38116	37835	37835	35593	34816	34816
e00424-C	e00424-C	1	e00424-C_S245_L001_R1_001.fastq.gz	e00424-C_S245_L001_R2_001.fastq.gz	30391	30391	30009	30009	29779	29779	28212	27613	27613
e00425-A	e00425-A	1	e00425-A_S54_L001_R1_001.fastq.gz	e00425-A_S54_L001_R2_001.fastq.gz	60455	60455	59598	59598	59081	59081	55994	52495	52495
e00425-B	e00425-B	1	e00425-B_S150_L001_R1_001.fastq.gz	e00425-B_S150_L001_R2_001.fastq.gz	41613	41613	41064	41064	40731	40731	38394	37700	37700
e00425-C	e00425-C	1	e00425-C_S246_L001_R1_001.fastq.gz	e00425-C_S246_L001_R2_001.fastq.gz	28940	28940	28554	28554	28301	28301	26368	25900	25900
e00426-A	e00426-A	1	e00426-A_S55_L001_R1_001.fastq.gz	e00426-A_S55_L001_R2_001.fastq.gz	54629	54629	53854	53854	53483	53483	51245	49981	49981
e00426-B	e00426-B	1	e00426-B_S151_L001_R1_001.fastq.gz	e00426-B_S151_L001_R2_001.fastq.gz	42185	42185	41679	41679	41385	41385	39335	38639	38639
e00426-C	e00426-C	1	e00426-C_S247_L001_R1_001.fastq.gz	e00426-C_S247_L001_R2_001.fastq.gz	31153	31153	30752	30752	30543	30543	28826	28203	28203
e00427-A	e00427-A	1	e00427-A_S56_L001_R1_001.fastq.gz	e00427-A_S56_L001_R2_001.fastq.gz	42755	42755	42161	42161	41734	41734	37196	36307	36307
e00427-B	e00427-B	1	e00427-B_S152_L001_R1_001.fastq.gz	e00427-B_S152_L001_R2_001.fastq.gz	31092	31092	30683	30683	29698	29698	24589	24274	24274
e00427-C	e00427-C	1	e00427-C_S248_L001_R1_001.fastq.gz	e00427-C_S248_L001_R2_001.fastq.gz	34858	34858	34398	34398	34012	34012	28755	28150	28150
e00428-A	e00428-A	1	e00428-A_S57_L001_R1_001.fastq.gz	e00428-A_S57_L001_R2_001.fastq.gz	49017	49017	48394	48394	45623	45623	40241	38802	38802
e00428-B	e00428-B	1	e00428-B_S153_L001_R1_001.fastq.gz	e00428-B_S153_L001_R2_001.fastq.gz	31417	31417	31022	31022	30679	30679	25553	25292	25292
e00428-C	e00428-C	1	e00428-C_S249_L001_R1_001.fastq.gz	e00428-C_S249_L001_R2_001.fastq.gz	32582	32582	32210	32210	31739	31739	23815	23418	23418
e00429-A	e00429-A	1	e00429-A_S58_L001_R1_001.fastq.gz	e00429-A_S58_L001_R2_001.fastq.gz	41379	41379	40740	40740	40194	40194	34655	33966	33966
e00429-B	e00429-B	1	e00429-B_S154_L001_R1_001.fastq.gz	e00429-B_S154_L001_R2_001.fastq.gz	29254	29254	28806	28806	28443	28443	22296	21948	21948
e00429-C	e00429-C	1	e00429-C_S250_L001_R1_001.fastq.gz	e00429-C_S250_L001_R2_001.fastq.gz	39597	39597	39018	39018	38431	38431	23854	23653	23653
e00430-A	e00430-A	1	e00430-A_S59_L001_R1_001.fastq.gz	e00430-A_S59_L001_R2_001.fastq.gz	35230	35230	34750	34750	34176	34176	27691	27345	27345
e00430-B	e00430-B	1	e00430-B_S155_L001_R1_001.fastq.gz	e00430-B_S155_L001_R2_001.fastq.gz	26820	26820	26463	26463	25904	25904	14850	14694	14694
e00430-C	e00430-C	1	e00430-C_S251_L001_R1_001.fastq.gz	e00430-C_S251_L001_R2_001.fastq.gz	26290	26290	25964	25964	25286	25286	10834	10614	10614
e00431-A	e00431-A	1	e00431-A_S60_L001_R1_001.fastq.gz	e00431-A_S60_L001_R2_001.fastq.gz	19318	19318	19054	19054	18390	18390	12486	12377	12377
e00431-B	e00431-B	1	e00431-B_S156_L001_R1_001.fastq.gz	e00431-B_S156_L001_R2_001.fastq.gz	38299	38299	37809	37809	36535	36535	15409	15141	15141
e00431-C	e00431-C	1	e00431-C_S252_L001_R1_001.fastq.gz	e00431-C_S252_L001_R2_001.fastq.gz	29528	29528	29157	29157	28097	28097	10071	10030	10030
e00432-A	e00432-A	1	e00432-A_S61_L001_R1_001.fastq.gz	e00432-A_S61_L001_R2_001.fastq.gz	23268	23268	22968	22968	22575	22575	17930	17754	17754
e00432-B	e00432-B	1	e00432-B_S157_L001_R1_001.fastq.gz	e00432-B_S157_L001_R2_001.fastq.gz	46468	46468	45883	45883	45006	45006	20700	20564	20564
e00432-C	e00432-C	1	e00432-C_S253_L001_R1_001.fastq.gz	e00432-C_S253_L001_R2_001.fastq.gz	34681	34681	34207	34207	33558	33558	15077	14852	14852
e00433-A	e00433-A	1	e00433-A_S62_L001_R1_001.fastq.gz	e00433-A_S62_L001_R2_001.fastq.gz	24543	24543	24225	24225	23829	23829	21078	20507	20502
e00433-B	e00433-B	1	e00433-B_S158_L001_R1_001.fastq.gz	e00433-B_S158_L001_R2_001.fastq.gz	40237	40237	39784	39784	39044	39044	27257	26985	26959
e00433-C	e00433-C	1	e00433-C_S254_L001_R1_001.fastq.gz	e00433-C_S254_L001_R2_001.fastq.gz	29833	29833	29455	29455	28900	28900	22026	21743	21743
