sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00532-A	e00532-A	1	e00532-A_S323_L001_R1_001.fastq.gz	e00532-A_S323_L001_R2_001.fastq.gz	64104	64104	63272	63272	62653	62653	56310	54772	54772
e00532-B	e00532-B	1	e00532-B_S391_L001_R1_001.fastq.gz	e00532-B_S391_L001_R2_001.fastq.gz	54453	54453	53704	53704	53239	53239	48295	47060	47060
e00532-C	e00532-C	1	e00532-C_S459_L001_R1_001.fastq.gz	e00532-C_S459_L001_R2_001.fastq.gz	40194	40194	39671	39671	39347	39347	36661	35306	35306
e00533-A	e00533-A	1	e00533-A_S324_L001_R1_001.fastq.gz	e00533-A_S324_L001_R2_001.fastq.gz	29832	29832	29380	29380	28980	28980	26555	26172	26159
e00533-B	e00533-B	1	e00533-B_S392_L001_R1_001.fastq.gz	e00533-B_S392_L001_R2_001.fastq.gz	31762	31762	31316	31316	30879	30879	28150	27741	27739
e00533-C	e00533-C	1	e00533-C_S460_L001_R1_001.fastq.gz	e00533-C_S460_L001_R2_001.fastq.gz	50166	50166	49446	49446	48849	48849	46064	45455	45455
e00534-A	e00534-A	1	e00534-A_S325_L001_R1_001.fastq.gz	e00534-A_S325_L001_R2_001.fastq.gz	43784	43784	43212	43212	42781	42781	40285	39615	39615
e00534-B	e00534-B	1	e00534-B_S393_L001_R1_001.fastq.gz	e00534-B_S393_L001_R2_001.fastq.gz	38545	38545	37969	37969	37556	37556	35224	34539	34539
e00534-C	e00534-C	1	e00534-C_S461_L001_R1_001.fastq.gz	e00534-C_S461_L001_R2_001.fastq.gz	43161	43161	42604	42604	42260	42260	40517	39807	39807
e00535-A	e00535-A	1	e00535-A_S326_L001_R1_001.fastq.gz	e00535-A_S326_L001_R2_001.fastq.gz	32754	32754	32287	32287	31944	31944	29703	29113	29113
e00535-B	e00535-B	1	e00535-B_S394_L001_R1_001.fastq.gz	e00535-B_S394_L001_R2_001.fastq.gz	46841	46841	46213	46213	45731	45731	42690	41877	41872
e00535-C	e00535-C	1	e00535-C_S462_L001_R1_001.fastq.gz	e00535-C_S462_L001_R2_001.fastq.gz	43613	43613	43018	43018	42682	42682	40894	40192	40192
e00536-A	e00536-A	1	e00536-A_S327_L001_R1_001.fastq.gz	e00536-A_S327_L001_R2_001.fastq.gz	33680	33680	33221	33221	32754	32754	25886	25277	25277
e00536-B	e00536-B	1	e00536-B_S395_L001_R1_001.fastq.gz	e00536-B_S395_L001_R2_001.fastq.gz	37712	37712	37214	37214	36719	36719	30321	29476	29476
e00536-C	e00536-C	1	e00536-C_S463_L001_R1_001.fastq.gz	e00536-C_S463_L001_R2_001.fastq.gz	65673	65673	64780	64780	64245	64245	59980	57265	57265
e00537-A	e00537-A	1	e00537-A_S328_L001_R1_001.fastq.gz	e00537-A_S328_L001_R2_001.fastq.gz	28599	28599	28201	28201	27710	27710	22947	22114	22114
e00537-B	e00537-B	1	e00537-B_S396_L001_R1_001.fastq.gz	e00537-B_S396_L001_R2_001.fastq.gz	33502	33502	32914	32914	32158	32158	26197	25679	25624
e00537-C	e00537-C	1	e00537-C_S464_L001_R1_001.fastq.gz	e00537-C_S464_L001_R2_001.fastq.gz	50834	50834	50126	50126	49705	49705	45983	44841	44841
e00538-A	e00538-A	1	e00538-A_S329_L001_R1_001.fastq.gz	e00538-A_S329_L001_R2_001.fastq.gz	31561	31561	31097	31097	30415	30415	24188	23938	23938
e00538-B	e00538-B	1	e00538-B_S397_L001_R1_001.fastq.gz	e00538-B_S397_L001_R2_001.fastq.gz	34994	34994	34516	34516	33962	33962	26737	26461	26461
e00538-C	e00538-C	1	e00538-C_S465_L001_R1_001.fastq.gz	e00538-C_S465_L001_R2_001.fastq.gz	22799	22799	22475	22475	22105	22105	17478	17125	17125
e00539-A	e00539-A	1	e00539-A_S330_L001_R1_001.fastq.gz	e00539-A_S330_L001_R2_001.fastq.gz	36829	36829	36351	36351	36107	36107	32668	31767	31767
e00539-B	e00539-B	1	e00539-B_S398_L001_R1_001.fastq.gz	e00539-B_S398_L001_R2_001.fastq.gz	35550	35550	35058	35058	34776	34776	30521	30011	30011
e00539-C	e00539-C	1	e00539-C_S466_L001_R1_001.fastq.gz	e00539-C_S466_L001_R2_001.fastq.gz	18370	18370	18090	18090	17985	17985	16715	16331	16301
e00540-A	e00540-A	1	e00540-A_S331_L001_R1_001.fastq.gz	e00540-A_S331_L001_R2_001.fastq.gz	59144	59144	58332	58332	57342	57342	48076	46519	46519
e00540-B	e00540-B	1	e00540-B_S399_L001_R1_001.fastq.gz	e00540-B_S399_L001_R2_001.fastq.gz	60034	60034	59219	59219	58588	58588	52107	51005	51005
e00540-C	e00540-C	1	e00540-C_S467_L001_R1_001.fastq.gz	e00540-C_S467_L001_R2_001.fastq.gz	52609	52609	51895	51895	51411	51411	46339	45276	45126
e00541-A	e00541-A	1	e00541-A_S332_L001_R1_001.fastq.gz	e00541-A_S332_L001_R2_001.fastq.gz	34293	34293	33854	33854	33487	33487	28867	28435	28435
e00541-B	e00541-B	1	e00541-B_S400_L001_R1_001.fastq.gz	e00541-B_S400_L001_R2_001.fastq.gz	38718	38718	38188	38188	37863	37863	34262	33638	33638
e00541-C	e00541-C	1	e00541-C_S468_L001_R1_001.fastq.gz	e00541-C_S468_L001_R2_001.fastq.gz	47580	47580	46931	46931	46464	46464	41823	40865	40865
e00542-A	e00542-A	1	e00542-A_S333_L001_R1_001.fastq.gz	e00542-A_S333_L001_R2_001.fastq.gz	3901	3901	3862	3862	3807	3807	3362	3311	3311
e00542-B	e00542-B	1	e00542-B_S401_L001_R1_001.fastq.gz	e00542-B_S401_L001_R2_001.fastq.gz	3915	3915	3873	3873	3822	3822	3323	3270	3270
e00542-C	e00542-C	1	e00542-C_S469_L001_R1_001.fastq.gz	e00542-C_S469_L001_R2_001.fastq.gz	4708	4708	4658	4658	4598	4598	4209	4167	4167
e00543-A	e00543-A	1	e00543-A_S334_L001_R1_001.fastq.gz	e00543-A_S334_L001_R2_001.fastq.gz	31522	31522	31107	31107	30780	30780	27621	27182	27182
e00543-B	e00543-B	1	e00543-B_S402_L001_R1_001.fastq.gz	e00543-B_S402_L001_R2_001.fastq.gz	26640	26640	26290	26290	26012	26012	22981	22686	22686
e00543-C	e00543-C	1	e00543-C_S470_L001_R1_001.fastq.gz	e00543-C_S470_L001_R2_001.fastq.gz	14825	14825	14606	14606	14455	14455	13726	13536	13478
e00544-A	e00544-A	1	e00544-A_S335_L001_R1_001.fastq.gz	e00544-A_S335_L001_R2_001.fastq.gz	3420	3420	3331	3331	3227	3227	2651	2623	2623
e00544-B	e00544-B	1	e00544-B_S403_L001_R1_001.fastq.gz	e00544-B_S403_L001_R2_001.fastq.gz	29108	29108	28688	28688	28268	28268	24328	23818	23739
e00544-C	e00544-C	1	e00544-C_S471_L001_R1_001.fastq.gz	e00544-C_S471_L001_R2_001.fastq.gz	17436	17436	17174	17174	16983	16983	15882	15601	15601
e00545-A	e00545-A	1	e00545-A_S337_L001_R1_001.fastq.gz	e00545-A_S337_L001_R2_001.fastq.gz	28675	28675	28295	28295	27843	27843	20587	20535	20535
e00545-B	e00545-B	1	e00545-B_S405_L001_R1_001.fastq.gz	e00545-B_S405_L001_R2_001.fastq.gz	30494	30494	30140	30140	29765	29765	23632	23497	23497
e00545-C	e00545-C	1	e00545-C_S473_L001_R1_001.fastq.gz	e00545-C_S473_L001_R2_001.fastq.gz	21559	21559	21312	21312	21055	21055	16227	15992	15992
e00546-A	e00546-A	1	e00546-A_S338_L001_R1_001.fastq.gz	e00546-A_S338_L001_R2_001.fastq.gz	28630	28630	28250	28250	27853	27853	24286	23702	23702
e00546-B	e00546-B	1	e00546-B_S406_L001_R1_001.fastq.gz	e00546-B_S406_L001_R2_001.fastq.gz	24582	24582	24315	24315	24060	24060	20461	20334	20334
e00546-C	e00546-C	1	e00546-C_S474_L001_R1_001.fastq.gz	e00546-C_S474_L001_R2_001.fastq.gz	20443	20443	20218	20218	20015	20015	17563	17516	17516
e00547-A	e00547-A	1	e00547-A_S339_L001_R1_001.fastq.gz	e00547-A_S339_L001_R2_001.fastq.gz	28337	28337	27893	27893	27199	27199	14193	13880	13880
e00547-B	e00547-B	1	e00547-B_S407_L001_R1_001.fastq.gz	e00547-B_S407_L001_R2_001.fastq.gz	30705	30705	30142	30142	29621	29621	19359	19296	19296
e00547-C	e00547-C	1	e00547-C_S475_L001_R1_001.fastq.gz	e00547-C_S475_L001_R2_001.fastq.gz	13567	13567	13304	13304	13109	13109	11349	11247	11247
e00548-A	e00548-A	1	e00548-A_S340_L001_R1_001.fastq.gz	e00548-A_S340_L001_R2_001.fastq.gz	36205	36205	35720	35720	35058	35058	27035	26394	26374
e00548-B	e00548-B	1	e00548-B_S408_L001_R1_001.fastq.gz	e00548-B_S408_L001_R2_001.fastq.gz	38576	38576	38102	38102	37461	37461	29035	28473	28473
e00548-C	e00548-C	1	e00548-C_S476_L001_R1_001.fastq.gz	e00548-C_S476_L001_R2_001.fastq.gz	91833	91833	90696	90696	89935	89935	81256	78513	78513
e00549-A	e00549-A	1	e00549-A_S341_L001_R1_001.fastq.gz	e00549-A_S341_L001_R2_001.fastq.gz	36805	36805	36288	36288	35694	35694	26109	25966	25966
e00549-B	e00549-B	1	e00549-B_S409_L001_R1_001.fastq.gz	e00549-B_S409_L001_R2_001.fastq.gz	28946	28946	28565	28565	28037	28037	17789	17408	17408
e00549-C	e00549-C	1	e00549-C_S477_L001_R1_001.fastq.gz	e00549-C_S477_L001_R2_001.fastq.gz	20145	20145	19922	19922	19699	19699	16895	16769	16769
e00550-A	e00550-A	1	e00550-A_S342_L001_R1_001.fastq.gz	e00550-A_S342_L001_R2_001.fastq.gz	37447	37447	37000	37000	36586	36586	28860	28542	28537
e00550-B	e00550-B	1	e00550-B_S410_L001_R1_001.fastq.gz	e00550-B_S410_L001_R2_001.fastq.gz	35329	35329	34837	34837	34431	34431	26159	25906	25906
e00550-C	e00550-C	1	e00550-C_S478_L001_R1_001.fastq.gz	e00550-C_S478_L001_R2_001.fastq.gz	18762	18762	18480	18480	18342	18342	16597	16424	16424
e00551-A	e00551-A	1	e00551-A_S343_L001_R1_001.fastq.gz	e00551-A_S343_L001_R2_001.fastq.gz	31684	31684	31351	31351	30863	30863	21180	20769	20769
e00551-B	e00551-B	1	e00551-B_S411_L001_R1_001.fastq.gz	e00551-B_S411_L001_R2_001.fastq.gz	41017	41017	40487	40487	39736	39736	21240	20885	20885
e00551-C	e00551-C	1	e00551-C_S479_L001_R1_001.fastq.gz	e00551-C_S479_L001_R2_001.fastq.gz	17686	17686	17423	17423	17192	17192	13018	12802	12802
e00552-A	e00552-A	1	e00552-A_S344_L001_R1_001.fastq.gz	e00552-A_S344_L001_R2_001.fastq.gz	29448	29448	29009	29009	28526	28526	19701	19232	19232
e00552-B	e00552-B	1	e00552-B_S412_L001_R1_001.fastq.gz	e00552-B_S412_L001_R2_001.fastq.gz	29896	29896	29522	29522	28977	28977	16726	16278	16278
e00552-C	e00552-C	1	e00552-C_S480_L001_R1_001.fastq.gz	e00552-C_S480_L001_R2_001.fastq.gz	23130	23130	22847	22847	22510	22510	17919	17723	17723
e00553-A	e00553-A	1	e00553-A_S345_L001_R1_001.fastq.gz	e00553-A_S345_L001_R2_001.fastq.gz	34889	34889	34407	34407	33553	33553	13445	13254	13254
e00553-B	e00553-B	1	e00553-B_S413_L001_R1_001.fastq.gz	e00553-B_S413_L001_R2_001.fastq.gz	40045	40045	39500	39500	38660	38660	18595	18395	18395
e00553-C	e00553-C	1	e00553-C_S481_L001_R1_001.fastq.gz	e00553-C_S481_L001_R2_001.fastq.gz	25838	25838	25486	25486	24999	24999	13823	13385	13385
e00554-A	e00554-A	1	e00554-A_S346_L001_R1_001.fastq.gz	e00554-A_S346_L001_R2_001.fastq.gz	33761	33761	33265	33265	32373	32373	14744	14094	14085
e00554-B	e00554-B	1	e00554-B_S414_L001_R1_001.fastq.gz	e00554-B_S414_L001_R2_001.fastq.gz	56536	56536	55625	55625	54171	54171	28417	27363	27358
e00554-C	e00554-C	1	e00554-C_S482_L001_R1_001.fastq.gz	e00554-C_S482_L001_R2_001.fastq.gz	27170	27170	26695	26695	25994	25994	14545	14092	14092
e00555-A	e00555-A	1	e00555-A_S347_L001_R1_001.fastq.gz	e00555-A_S347_L001_R2_001.fastq.gz	35995	35995	35492	35492	34230	34230	14808	14604	14599
e00555-B	e00555-B	1	e00555-B_S415_L001_R1_001.fastq.gz	e00555-B_S415_L001_R2_001.fastq.gz	43610	43610	42962	42962	41268	41268	16047	15770	15726
e00555-C	e00555-C	1	e00555-C_S483_L001_R1_001.fastq.gz	e00555-C_S483_L001_R2_001.fastq.gz	66488	66488	65582	65582	63658	63658	34476	33461	33453
e00556-A	e00556-A	1	e00556-A_S348_L001_R1_001.fastq.gz	e00556-A_S348_L001_R2_001.fastq.gz	37866	37866	37325	37325	35240	35240	11158	10952	10952
e00556-B	e00556-B	1	e00556-B_S416_L001_R1_001.fastq.gz	e00556-B_S416_L001_R2_001.fastq.gz	35698	35698	35203	35203	33260	33260	10277	9759	9741
e00556-C	e00556-C	1	e00556-C_S484_L001_R1_001.fastq.gz	e00556-C_S484_L001_R2_001.fastq.gz	53010	53010	52246	52246	49903	49903	22718	22199	22199
e00557-A	e00557-A	1	e00557-A_S349_L001_R1_001.fastq.gz	e00557-A_S349_L001_R2_001.fastq.gz	45552	45552	44947	44947	43533	43533	8967	8277	8268
e00557-B	e00557-B	1	e00557-B_S417_L001_R1_001.fastq.gz	e00557-B_S417_L001_R2_001.fastq.gz	42074	42074	41547	41547	40256	40256	7980	7953	7953
e00557-C	e00557-C	1	e00557-C_S485_L001_R1_001.fastq.gz	e00557-C_S485_L001_R2_001.fastq.gz	22499	22499	22193	22193	21557	21557	7338	7290	7285
e00558-A	e00558-A	1	e00558-A_S350_L001_R1_001.fastq.gz	e00558-A_S350_L001_R2_001.fastq.gz	46894	46894	46231	46231	44447	44447	4303	4248	4248
e00558-B	e00558-B	1	e00558-B_S418_L001_R1_001.fastq.gz	e00558-B_S418_L001_R2_001.fastq.gz	42029	42029	41369	41369	39789	39789	4452	4430	4430
e00558-C	e00558-C	1	e00558-C_S486_L001_R1_001.fastq.gz	e00558-C_S486_L001_R2_001.fastq.gz	17614	17614	17400	17400	16751	16751	3565	3539	3536
e00559-A	e00559-A	1	e00559-A_S351_L001_R1_001.fastq.gz	e00559-A_S351_L001_R2_001.fastq.gz	32594	32594	31779	31779	30587	30587	15388	15273	15273
e00559-B	e00559-B	1	e00559-B_S419_L001_R1_001.fastq.gz	e00559-B_S419_L001_R2_001.fastq.gz	38219	38219	37291	37291	36224	36224	17606	17445	17445
e00559-C	e00559-C	1	e00559-C_S487_L001_R1_001.fastq.gz	e00559-C_S487_L001_R2_001.fastq.gz	16143	16143	15604	15604	15196	15196	10551	10469	10469
e00560-A	e00560-A	1	e00560-A_S352_L001_R1_001.fastq.gz	e00560-A_S352_L001_R2_001.fastq.gz	43588	43588	43004	43004	42395	42395	34888	33776	33776
e00560-B	e00560-B	1	e00560-B_S420_L001_R1_001.fastq.gz	e00560-B_S420_L001_R2_001.fastq.gz	26241	26241	25878	25878	25250	25250	21589	21203	21203
e00560-C	e00560-C	1	e00560-C_S488_L001_R1_001.fastq.gz	e00560-C_S488_L001_R2_001.fastq.gz	18051	18051	17804	17804	17606	17606	16131	15729	15729
e00561-A	e00561-A	1	e00561-A_S353_L001_R1_001.fastq.gz	e00561-A_S353_L001_R2_001.fastq.gz	51389	51389	50708	50708	50231	50231	44635	42320	42320
e00561-B	e00561-B	1	e00561-B_S421_L001_R1_001.fastq.gz	e00561-B_S421_L001_R2_001.fastq.gz	40029	40029	39461	39461	39064	39064	34514	33258	33258
e00561-C	e00561-C	1	e00561-C_S489_L001_R1_001.fastq.gz	e00561-C_S489_L001_R2_001.fastq.gz	17251	17251	17013	17013	16793	16793	14391	13850	13850
e00562-A	e00562-A	1	e00562-A_S354_L001_R1_001.fastq.gz	e00562-A_S354_L001_R2_001.fastq.gz	27000	27000	26600	26600	26220	26220	25926	25118	25118
e00562-B	e00562-B	1	e00562-B_S422_L001_R1_001.fastq.gz	e00562-B_S422_L001_R2_001.fastq.gz	2309	2309	2269	2269	2170	2170	753	750	750
e00562-C	e00562-C	1	e00562-C_S490_L001_R1_001.fastq.gz	e00562-C_S490_L001_R2_001.fastq.gz	7598	7598	7493	7493	809	809	631	631	631
e00563-A	e00563-A	2	e00563-A_S1_L001_R1_001.fastq.gz	e00563-A_S1_L001_R2_001.fastq.gz	39857	39857	39414	39414	39265	39265	36718	35878	35878
e00563-B	e00563-B	2	e00563-B_S95_L001_R1_001.fastq.gz	e00563-B_S95_L001_R2_001.fastq.gz	32729	32729	32365	32365	32187	32187	29877	29444	29438
e00563-C	e00563-C	2	e00563-C_S186_L001_R1_001.fastq.gz	e00563-C_S186_L001_R2_001.fastq.gz	23481	23481	23213	23213	22117	22117	20660	20426	20426
e00564-A	e00564-A	2	e00564-A_S2_L001_R1_001.fastq.gz	e00564-A_S2_L001_R2_001.fastq.gz	22076	22076	21777	21777	21612	21612	19955	19656	19656
e00564-B	e00564-B	2	e00564-B_S96_L001_R1_001.fastq.gz	e00564-B_S96_L001_R2_001.fastq.gz	35409	35409	34955	34955	34348	34348	31795	30305	30305
e00564-C	e00564-C	2	e00564-C_S187_L001_R1_001.fastq.gz	e00564-C_S187_L001_R2_001.fastq.gz	34979	34979	34498	34498	34181	34181	31971	31540	31540
e00565-A	e00565-A	2	e00565-A_S3_L001_R1_001.fastq.gz	e00565-A_S3_L001_R2_001.fastq.gz	29160	29160	28841	28841	28649	28649	26562	26228	26228
e00565-B	e00565-B	2	e00565-B_S97_L001_R1_001.fastq.gz	e00565-B_S97_L001_R2_001.fastq.gz	29582	29582	29191	29191	28946	28946	27138	26958	26958
e00565-C	e00565-C	2	e00565-C_S188_L001_R1_001.fastq.gz	e00565-C_S188_L001_R2_001.fastq.gz	25578	25578	25212	25212	23516	23516	21987	21627	21627
e00566-A	e00566-A	2	e00566-A_S4_L001_R1_001.fastq.gz	e00566-A_S4_L001_R2_001.fastq.gz	43666	43666	43186	43186	42850	42850	37515	36827	36827
e00566-B	e00566-B	2	e00566-B_S98_L001_R1_001.fastq.gz	e00566-B_S98_L001_R2_001.fastq.gz	25890	25890	25553	25553	25308	25308	23573	23004	23004
e00566-C	e00566-C	2	e00566-C_S189_L001_R1_001.fastq.gz	e00566-C_S189_L001_R2_001.fastq.gz	19201	19201	18960	18960	18684	18684	16480	16069	16069
e00567-A	e00567-A	2	e00567-A_S5_L001_R1_001.fastq.gz	e00567-A_S5_L001_R2_001.fastq.gz	42965	42965	42472	42472	42211	42211	39916	39630	39592
e00567-B	e00567-B	2	e00567-B_S99_L001_R1_001.fastq.gz	e00567-B_S99_L001_R2_001.fastq.gz	26745	26745	26395	26395	26158	26158	24578	24381	24381
e00567-C	e00567-C	2	e00567-C_S190_L001_R1_001.fastq.gz	e00567-C_S190_L001_R2_001.fastq.gz	22099	22099	21828	21828	21595	21595	20655	20529	20529
e00568-A	e00568-A	2	e00568-A_S6_L001_R1_001.fastq.gz	e00568-A_S6_L001_R2_001.fastq.gz	23918	23918	23706	23706	23549	23549	22275	22078	22078
e00568-B	e00568-B	2	e00568-B_S100_L001_R1_001.fastq.gz	e00568-B_S100_L001_R2_001.fastq.gz	26395	26395	26090	26090	25835	25835	23885	23686	23669
e00568-C	e00568-C	2	e00568-C_S191_L001_R1_001.fastq.gz	e00568-C_S191_L001_R2_001.fastq.gz	30562	30562	30143	30143	29393	29393	27662	27321	27321
e00569-A	e00569-A	2	e00569-A_S7_L001_R1_001.fastq.gz	e00569-A_S7_L001_R2_001.fastq.gz	40144	40144	39643	39643	39458	39458	37949	37569	37569
e00569-B	e00569-B	2	e00569-B_S101_L001_R1_001.fastq.gz	e00569-B_S101_L001_R2_001.fastq.gz	32123	32123	31583	31583	30413	30413	28916	28443	28443
e00569-C	e00569-C	2	e00569-C_S192_L001_R1_001.fastq.gz	e00569-C_S192_L001_R2_001.fastq.gz	24999	24999	24543	24543	24305	24305	22876	22717	22717
e00570-A	e00570-A	2	e00570-A_S8_L001_R1_001.fastq.gz	e00570-A_S8_L001_R2_001.fastq.gz	24328	24328	23466	23466	22340	22340	7819	7819	7819
e00570-B	e00570-B	2	e00570-B_S102_L001_R1_001.fastq.gz	e00570-B_S102_L001_R2_001.fastq.gz	1473	1473	1438	1438	550	550	294	294	294
e00570-C	e00570-C	2	e00570-C_S193_L001_R1_001.fastq.gz	e00570-C_S193_L001_R2_001.fastq.gz	18139	18139	17882	17882	17611	17611	13644	13393	13393
e00571-A	e00571-A	2	e00571-A_S9_L001_R1_001.fastq.gz	e00571-A_S9_L001_R2_001.fastq.gz	33601	33601	33181	33181	32378	32378	22904	22442	22442
e00571-B	e00571-B	2	e00571-B_S103_L001_R1_001.fastq.gz	e00571-B_S103_L001_R2_001.fastq.gz	35932	35932	35462	35462	34966	34966	29413	28619	28619
e00571-C	e00571-C	2	e00571-C_S194_L001_R1_001.fastq.gz	e00571-C_S194_L001_R2_001.fastq.gz	27667	27667	27328	27328	26198	26198	18476	18084	18084
e00572-A	e00572-A	2	e00572-A_S10_L001_R1_001.fastq.gz	e00572-A_S10_L001_R2_001.fastq.gz	25930	25930	25630	25630	25037	25037	17799	17652	17652
e00572-B	e00572-B	2	e00572-B_S104_L001_R1_001.fastq.gz	e00572-B_S104_L001_R2_001.fastq.gz	25189	25189	24835	24835	24537	24537	20675	20147	20147
e00572-C	e00572-C	2	e00572-C_S195_L001_R1_001.fastq.gz	e00572-C_S195_L001_R2_001.fastq.gz	25178	25178	24827	24827	23386	23386	18343	18120	18120
e00573-A	e00573-A	2	e00573-A_S11_L001_R1_001.fastq.gz	e00573-A_S11_L001_R2_001.fastq.gz	23802	23802	23502	23502	22887	22887	16086	15449	15449
e00573-B	e00573-B	2	e00573-B_S105_L001_R1_001.fastq.gz	e00573-B_S105_L001_R2_001.fastq.gz	32669	32669	32298	32298	31645	31645	23285	22496	22496
e00573-C	e00573-C	2	e00573-C_S196_L001_R1_001.fastq.gz	e00573-C_S196_L001_R2_001.fastq.gz	29621	29621	29194	29194	28414	28414	19773	18980	18980
e00574-A	e00574-A	2	e00574-A_S12_L001_R1_001.fastq.gz	e00574-A_S12_L001_R2_001.fastq.gz	28493	28493	28125	28125	26451	26451	15045	14634	14634
e00574-B	e00574-B	2	e00574-B_S106_L001_R1_001.fastq.gz	e00574-B_S106_L001_R2_001.fastq.gz	24368	24368	24055	24055	23528	23528	17789	17163	17163
e00574-C	e00574-C	2	e00574-C_S197_L001_R1_001.fastq.gz	e00574-C_S197_L001_R2_001.fastq.gz	23970	23970	23652	23652	22367	22367	14475	14082	14082
e00575-A	e00575-A	2	e00575-A_S13_L001_R1_001.fastq.gz	e00575-A_S13_L001_R2_001.fastq.gz	29897	29897	29507	29507	28828	28828	22500	21792	21792
e00575-B	e00575-B	2	e00575-B_S107_L001_R1_001.fastq.gz	e00575-B_S107_L001_R2_001.fastq.gz	29142	29142	28751	28751	28263	28263	22005	21225	21225
e00575-C	e00575-C	2	e00575-C_S198_L001_R1_001.fastq.gz	e00575-C_S198_L001_R2_001.fastq.gz	28233	28233	27894	27894	26634	26634	20775	20084	20084
e00576-A	e00576-A	2	e00576-A_S14_L001_R1_001.fastq.gz	e00576-A_S14_L001_R2_001.fastq.gz	28738	28738	28404	28404	28196	28196	26255	25695	25695
e00576-B	e00576-B	2	e00576-B_S108_L001_R1_001.fastq.gz	e00576-B_S108_L001_R2_001.fastq.gz	21484	21484	21225	21225	20735	20735	19012	18677	18677
e00576-C	e00576-C	2	e00576-C_S199_L001_R1_001.fastq.gz	e00576-C_S199_L001_R2_001.fastq.gz	23902	23902	23581	23581	20497	20497	18692	18494	18494
e00577-A	e00577-A	2	e00577-A_S15_L001_R1_001.fastq.gz	e00577-A_S15_L001_R2_001.fastq.gz	40923	40923	40336	40336	40056	40056	37205	36522	36522
e00577-B	e00577-B	2	e00577-B_S109_L001_R1_001.fastq.gz	e00577-B_S109_L001_R2_001.fastq.gz	28869	28869	28517	28517	27326	27326	24551	24221	24217
e00577-C	e00577-C	2	e00577-C_S200_L001_R1_001.fastq.gz	e00577-C_S200_L001_R2_001.fastq.gz	24218	24218	23930	23930	22120	22120	20345	20012	20012
e00578-A	e00578-A	2	e00578-A_S16_L001_R1_001.fastq.gz	e00578-A_S16_L001_R2_001.fastq.gz	769	769	758	758	725	725	481	466	466
e00578-B	e00578-B	2	e00578-B_S110_L001_R1_001.fastq.gz	e00578-B_S110_L001_R2_001.fastq.gz	27664	27664	27351	27351	27069	27069	25511	25090	25090
e00578-C	e00578-C	2	e00578-C_S201_L001_R1_001.fastq.gz	e00578-C_S201_L001_R2_001.fastq.gz	22641	22641	22361	22361	22104	22104	21137	20787	20787
e00579-A	e00579-A	2	e00579-A_S17_L001_R1_001.fastq.gz	e00579-A_S17_L001_R2_001.fastq.gz	22982	22982	22691	22691	22530	22530	20072	19637	19637
e00579-B	e00579-B	2	e00579-B_S111_L001_R1_001.fastq.gz	e00579-B_S111_L001_R2_001.fastq.gz	41860	41860	41359	41359	41060	41060	37578	36903	36903
e00579-C	e00579-C	2	e00579-C_S202_L001_R1_001.fastq.gz	e00579-C_S202_L001_R2_001.fastq.gz	19848	19848	19599	19599	19386	19386	17426	17174	17174
e00580-A	e00580-A	2	e00580-A_S18_L001_R1_001.fastq.gz	e00580-A_S18_L001_R2_001.fastq.gz	26522	26522	26232	26232	25782	25782	22932	22585	22583
e00580-B	e00580-B	2	e00580-B_S112_L001_R1_001.fastq.gz	e00580-B_S112_L001_R2_001.fastq.gz	20699	20699	20428	20428	17937	17937	15608	15377	15377
e00580-C	e00580-C	2	e00580-C_S203_L001_R1_001.fastq.gz	e00580-C_S203_L001_R2_001.fastq.gz	25693	25693	25343	25343	24910	24910	21596	21398	21398
e00581-A	e00581-A	2	e00581-A_S19_L001_R1_001.fastq.gz	e00581-A_S19_L001_R2_001.fastq.gz	29077	29077	28728	28728	28529	28529	26392	26108	26108
e00581-B	e00581-B	2	e00581-B_S113_L001_R1_001.fastq.gz	e00581-B_S113_L001_R2_001.fastq.gz	31212	31212	30799	30799	30493	30493	27622	27165	27151
e00581-C	e00581-C	2	e00581-C_S204_L001_R1_001.fastq.gz	e00581-C_S204_L001_R2_001.fastq.gz	24814	24814	24471	24471	23337	23337	21292	21028	21024
e00582-A	e00582-A	2	e00582-A_S20_L001_R1_001.fastq.gz	e00582-A_S20_L001_R2_001.fastq.gz	26630	26630	26319	26319	26008	26008	21701	21635	21635
e00582-B	e00582-B	2	e00582-B_S114_L001_R1_001.fastq.gz	e00582-B_S114_L001_R2_001.fastq.gz	15773	15773	15552	15552	15274	15274	11649	11649	11649
e00582-C	e00582-C	2	e00582-C_S205_L001_R1_001.fastq.gz	e00582-C_S205_L001_R2_001.fastq.gz	11585	11585	11410	11410	7778	7778	7031	6998	6998
e00583-A	e00583-A	2	e00583-A_S21_L001_R1_001.fastq.gz	e00583-A_S21_L001_R2_001.fastq.gz	22548	22548	22270	22270	22092	22092	19177	19067	19067
e00583-B	e00583-B	2	e00583-B_S115_L001_R1_001.fastq.gz	e00583-B_S115_L001_R2_001.fastq.gz	18162	18162	17917	17917	15915	15915	14051	13986	13986
e00583-C	e00583-C	2	e00583-C_S206_L001_R1_001.fastq.gz	e00583-C_S206_L001_R2_001.fastq.gz	14243	14243	14037	14037	9584	9584	7866	7860	7821
